string_id,gene_name,uniprot_id,uniprot_ac,protein_fullname,degree,degree_cent,betweenness,closeness,eigenvector,pagerank,k_core,clustering_coeff,weighted_degree,community_id,community_size,participation_coeff,within_module_z,num_comm_connected,protein_role,label
9606.ENSP00000361446,POLR3A,RPC1_HUMAN,O14802,DNA-directed RNA polymerase III subunit RPC1,139.0,0.008752597,0.000245069,0.265123835,0.029358355,0.000126091,87.0,0.376641567,116848.0,17.0,842.0,0.453806739,0.046142667,5.0,peripheral,1
9606.ENSP00000361471,ASS1,ASSY_HUMAN,P00966,Argininosuccinate synthase,47.0,0.002959511,0.000696625,0.250928326,0.000153943,0.000127159,22.0,0.169862196,41036.0,8.0,1936.0,0.336803984,1.007374774,5.0,peripheral,0
9606.ENSP00000361473,KDM4A,KDM4A_HUMAN,O75164,Lysine-specific demethylase 4A,58.0,0.003652163,3.45e-05,0.263811401,0.000825973,8.4e-05,43.0,0.466215753,50659.0,7.0,1183.0,0.161117717,0.346191801,2.0,peripheral,0
9606.ENSP00000361540,CDC20,CDC20_HUMAN,B2R6Z6,Cell division cycle protein 20 homolog,207.0,0.013034444,0.001727631,0.285338418,0.001239494,0.000323394,46.0,0.17659275,183743.0,5.0,888.0,0.385493244,4.192919447,10.0,provincial_hub,1
9606.ENSP00000361548,MPL,TPOR_HUMAN,P40238,Thrombopoietin receptor,40.0,0.002518733,6.9e-06,0.249827811,8.07e-05,6.23e-05,32.0,0.29360552,31341.0,1.0,2329.0,0.04875,0.386745071,1.0,peripheral,0
9606.ENSP00000361603,C1orf50,CA050_HUMAN,Q9BV19,Uncharacterized protein C1orf50,1.0,6.3e-05,0.0,0.191531761,1.74e-07,1.18e-05,1.0,0.0,894.0,8.0,1936.0,0.0,-0.942586578,0.0,peripheral,0
9606.ENSP00000361626,YBX1,YBOX1_HUMAN,P16990,Y-box-binding protein 1,136.0,0.008563692,0.001955018,0.293658445,0.005157873,0.000197501,44.0,0.137566615,113270.0,11.0,893.0,0.546604671,1.680599259,8.0,peripheral,1
9606.ENSP00000361635,VDAC2,VDAC2_HUMAN,P45880,,41.0,0.002581701,2.11e-05,0.26220719,0.000241478,8.2e-05,23.0,0.220703086,34427.0,12.0,518.0,0.58179655,-0.153217115,4.0,peripheral,0
9606.ENSP00000361636,TNNC2,TNNC2_HUMAN,P02585,"Troponin C, skeletal muscle",28.0,0.001763113,3.56e-06,0.228532501,5.31e-06,6.6e-05,23.0,0.659567342,24569.0,4.0,2493.0,0.0,0.783063819,0.0,peripheral,0
9606.ENSP00000361662,GUCA2B,GUC2B_HUMAN,Q16661,Guanylate cyclase C-activating peptide 2,6.0,0.00037781,0.0,0.222061976,2.83e-06,2.78e-05,6.0,0.54332743,5338.0,8.0,1936.0,0.5,-0.784481604,2.0,peripheral,0
