string_id,gene_name,uniprot_id,uniprot_ac,protein_fullname,label,og_label,depmap_class,final_classification,depmap_dependent_lines,depmap_total_lines,depmap_pct_lines,n_approved_drugs,n_approved_drugs_drugcentral,n_approved_drugs_dgidb,n_drugbank_drugs,n_total_approved_drugs,any_approved_drug,drugbank_ids,n_total_cancer_trials,n_active_trials,n_completed_trials,n_chembl_activities,n_distinct_molecules,n_clinical_or_approved_compounds,protein_role,degree,degree_cent,betweenness,closeness,eigenvector,pagerank,k_core,clustering_coeff,weighted_degree,community_id,community_size,participation_coeff,within_module_z,num_comm_connected,depmap_is_ceg,depmap_is_cseg_flag
9606.ENSP00000420714,MRPS14,RT14_HUMAN,O60783,"28S ribosomal protein S14, mitochondrial",1,UNLABELED,DEPMAP-intermediate,unclassified,871,1208,72.1,0,0,0,0,0,False,,0,0,0,0,0,0,peripheral,255.0,0.016056923,5.41e-05,0.279666263,0.065812563,0.000185184,112.0,0.458597418,228337.0,17.0,842.0,0.106113033,1.686515815,6.0,True,False
9606.ENSP00000424870,SRP19,SRP19_HUMAN,B2R4E9,Signal recognition particle 19 kDa protein,1,CEGs,DEPMAP-CEG,CEG_combined,1194,1208,98.84,4,0,4,0,4,True,,0,0,0,3,2,0,peripheral,100.0,0.006296833,4.93e-05,0.261063615,0.034971067,8.21e-05,88.0,0.792818688,87233.0,17.0,842.0,0.0588,0.068613532,3.0,True,False
9606.ENSP00000425587,EXOC3,EXOC3_HUMAN,O60645,Exocyst complex component 3,1,CEGs,DEPMAP-intermediate,CEG_combined,962,1208,79.64,0,0,0,0,0,False,,0,0,0,2,1,0,peripheral,27.0,0.001700145,5.03e-05,0.236649719,5.16e-06,7.8e-05,18.0,0.385610942,23502.0,25.0,998.0,0.139917695,0.728653452,2.0,True,False
9606.ENSP00000425759,COX7C,COX7C_HUMAN,P15954,"Cytochrome c oxidase subunit 7C, mitochondrial",1,UNLABELED,DEPMAP-CEG,CEG_combined,1013,1208,83.86,0,0,0,1,1,True,DB02659,0,0,0,0,0,0,peripheral,119.0,0.007493231,0.000148182,0.251213604,0.003398052,0.000149162,64.0,0.47162981,109427.0,12.0,518.0,0.110726644,2.339520254,1.0,True,False
9606.ENSP00000426504,ZNF131,ZN131_HUMAN,B4DRL3,Zinc finger protein 131,1,CEGs,DEPMAP-CEG,CEG_combined,1108,1208,91.72,0,0,0,0,0,False,,0,0,0,9,1,0,peripheral,3.0,0.000188905,1.59e-08,0.20012362,4.12e-06,1.53e-05,3.0,0.0,2273.0,7.0,1183.0,0.0,-0.679979335,0.0,True,True
9606.ENSP00000426654,ANAPC4,APC4_HUMAN,A8K8H1,Anaphase-promoting complex subunit 4,1,CEGs,DEPMAP-CEG,CEG_combined,1168,1208,96.69,0,0,0,0,0,False,,0,0,0,1,1,0,peripheral,70.0,0.004407783,0.000291745,0.268100156,0.00075286,0.000110266,41.0,0.431925632,63385.0,5.0,888.0,0.557959184,0.549147103,8.0,True,True
9606.ENSP00000427463,SPCS3,SPCS3_HUMAN,P12280,Signal peptidase complex subunit 3,1,CEGs,DEPMAP-CEG,CEG_combined,1147,1208,94.95,0,0,0,0,0,False,,0,0,0,2,1,0,peripheral,7.0,0.000440778,1.59e-08,0.200482994,0.000196537,2.42e-05,7.0,0.599075686,6229.0,17.0,842.0,0.0,-0.942575395,0.0,True,False
9606.ENSP00000428085,RPL30,RL30_HUMAN,B2R591,60S ribosomal protein L30,1,CEGs,DEPMAP-CEG,CEG_combined,1184,1208,98.01,1,0,1,0,1,True,,0,0,0,243,103,0,peripheral,281.0,0.0176941,0.000371109,0.288737031,0.077135802,0.000226121,112.0,0.427841579,258365.0,17.0,842.0,0.076417472,2.012343358,6.0,True,False
9606.ENSP00000429065,INTS9,INT9_HUMAN,B7Z560,Integrator complex subunit 9,1,CEGs,DEPMAP-CEG,CEG_combined,1208,1208,100.0,0,0,0,0,0,False,,0,0,0,6,1,0,peripheral,42.0,0.00264467,4.92e-05,0.246882514,0.000873742,7.23e-05,27.0,0.476862827,36773.0,7.0,1183.0,0.400226757,-0.084800076,4.0,True,False
9606.ENSP00000429323,EIF2B4,EI2BD_HUMAN,Q53RY7,,1,CEGs,DEPMAP-CEG,CEG_combined,1200,1208,99.34,0,0,0,0,0,False,,0,0,0,4,2,0,peripheral,13.0,0.000818588,1.47e-06,0.236865341,0.000890965,3.18e-05,11.0,0.63614152,11707.0,17.0,842.0,0.272189349,-0.897633665,2.0,True,False
